문화시설명,주제분류,문화분류,주소,자치구,행정동명,행정동ID_8자리,위도,경도,무료여부,관람시간,휴관일,객석수,전화번호,홈페이지,매칭거리_m,매칭품질
논현2동복합문화센터,기타,기타문화,서울특별시 강남구 학동로43길 17,강남구,논현2동,11230530,37.5172831299803,127.037204204847,유료,,"일요일, 법정공휴일, 근로자의날",,02-2176-0620,https://life.gangnam.go.kr/fmcs/111,26.7,양호
성암아트홀,공연장,공연시설,서울특별시 강남구 선릉로111길 6 3F 전층,강남구,논현2동,11230530,37.5110534156341,127.043020996617,유료,,홈페이지 참조,,02-543-0826,https://www.saart.co/kr/index.php,53.0,양호
아트코드갤러리,미술관/갤러리,전시시설,서울특별시 강남구 언주로130길 14,강남구,논현2동,11230530,37.5148382107332,127.036775427752,무료,,매주 월요일,,0507-1400-6359,https://www.instagram.com/artcode_gallery/,84.7,양호
책과얽힘,기타,기타문화,서울특별시 강남구 선릉로133길 15,강남구,논현2동,11230530,37.5179419934245,127.039546839166,무료,,"토요일, 일요일",,02-542-9383,https://www.facebook.com/EntangledwithBooks/,27.8,양호
플랫폼엘,기타,기타문화,서울특별시 강남구 언주로133길 11,강남구,논현2동,11230530,37.51616471154578,127.0342339545498,유료,,"매주 월요일, 1월1일, 설, 추석, 성탄절",,02-6929-4470,https://platform-l.org/,33.1,양호
KT&G 상상마당 대치아트홀,공연장,공연시설,서울특별시 강남구 영동대로 416 KT&G 타워 3층,강남구,대치2동,11230790,37.5065841136869,127.065326637295,유료,,홈페이지 참조,,02-3404-4311,https://www.sangsangmadang.com/main/DC,83.2,양호
SETEC전시장(서울무역전시장),기타,기타문화,서울특별시 강남구 남부순환로 3104,강남구,대치2동,11230790,37.4956786590374,127.071912029293,무료,,행사별상이,,02-2187-4600,http://www.setec.or.kr/,103.5,양호
강남구립대치도서관,도서관,도서관,서울 강남구 삼성로 212 은마아파트 복지상가 2층 215호,강남구,대치2동,11230790,37.4996157705058,127.065915414443,무료,,매주 화요일 및 일요일을 제외한 법정공휴일,,02-565-6666,https://library.gangnam.go.kr/dchlib/index.do,97.0,양호
강남구립행복한도서관,도서관,도서관,서울 강남구 영동대로65길 24 대치2동주민센터 3층,강남구,대치2동,11230790,37.5023043321987,127.064187680006,무료,,"매주 화요일, 일요일을 제외한 법정공휴일",,02-567-3833,https://library.gangnam.go.kr/happylib/index.do,40.4,양호
강남구민회관,기타,기타문화,서울특별시 강남구 삼성로 154,강남구,대치2동,11230790,37.4938499406221,127.06414979923,무료,,"일요일, 월요일, 법정공휴일(대체휴무일 포함) 휴관",,02-2176-0891,https://www.gncity.or.kr/gncity/main/contents.do?menuNo=200139,23.5,양호
마이아트뮤지엄,미술관/갤러리,전시시설,서울특별시 강남구 테헤란로 518 (대치동) 섬유센터빌딩 B1,강남구,대치2동,11230790,37.5075910839105,127.060579419429,유료,,설날 및 추석 당일 휴관 | 공휴일 정상운영,,02-567-8878,http://www.myartmuseum.kr/,30.6,양호
씨스퀘어,공연장,공연시설,서울 강남구 영동대로 326 컬쳐랜드타워 1층 C SQUARE,강남구,대치2동,11230790,37.5038047972699,127.066592014355,무료,,연중무휴,,02-560-0792,http://www.culturetower.co.kr/hall/main.asp,140.2,양호
한국문화의집 KOUS,공연장,공연시설,서울특별시 강남구 테헤란로92길 12-9,강남구,대치2동,11230790,37.5068278109456,127.060465476538,유료,,홈페이지 참조,,02-3011-1788,https://www.instagram.com/2003kous/,62.5,양호
강남구립즐거운도서관,도서관,도서관,서울 강남구 도곡로77길 23 대치4동주민센터,강남구,대치4동,11230630,37.499729738243,127.05784954077,무료,,매월 월요일 및 일요일을 제외한 법정공휴일,,02-565-7533,https://library.gangnam.go.kr/jgwlib/index.do,46.5,양호
오에이오에이,미술관/갤러리,전시시설,서울특별시 강남구 삼성로63길 32-11,강남구,대치4동,11230630,37.5000442067308,127.057072857318,무료,,"월, 화, 일요일 공휴일 휴관",,02-6207-3211,https://www.oaoagallery.com/,21.3,양호
포스코미술관,미술관/갤러리,전시시설,서울시 강남구 테헤란로 440 포스코센터 지하 1층 포스코미술관,강남구,대치4동,11230630,37.5057694,127.0558879,무료,개관시간 10시~19시(토요일 11시~16시),공휴일,,02-3457-0793,http://www.poscoartmuseum.org/,96.5,양호
강남구립도곡정보문화도서관,도서관,도서관,서울 강남구 도곡로18길 57 도곡정보문화도서관,강남구,도곡1동,11230660,37.4883103031337,127.038880370672,무료,,"매주 월요일, 법정공휴일",,1644-3227,https://library.gangnam.go.kr/dogoklib/index.do,46.4,양호
오유아트홀,공연장,공연시설,서울특별시 강남구 남부순환로378길 34-9 도곡2동주민센터 4층,강남구,도곡2동,11230670,37.4837230766034,127.046406996821,유료,,주말 또는 공휴일 / 행사별 상이,,02-2176-0743,https://www.gangnam.go.kr/office/gfac/contents/gfac_place01/1/view.do?mid=gfac_facility0801,35.1,양호
GB 가빈아트홀,공연장,공연시설,"서울특별시 강남구 삼성로 534, B2층 가빈아트홀",강남구,삼성1동,11230580,37.5096776765406,127.055536318832,무료,,"설날, 추석 당일",,0507-1361-9570,https://gabin-arthall.com,62.6,양호
JBK컨벤션홀,기타,기타문화,서울 강남구 봉은사로 619 JBK TOWER 빌딩,강남구,삼성1동,11230580,37.5150273653092,127.063116769411,유료,,없음 ,,02-547-6551,http://jbktower.com/g5/,56.3,양호
강남힐링센터(코엑스),기타,기타문화,서울특별시 강남구 테헤란로87길 46,강남구,삼성1동,11230580,37.51137783911759,127.0580407444569,무료,,일요일,,02-6712-0651,https://life.gangnam.go.kr/fmcs/261,55.3,양호
리얼레이션 스페이스,미술관/갤러리,전시시설,서울 강남구 봉은사로114길 46 1층,강남구,삼성1동,11230580,37.511909216187,127.065515756604,무료,,매주 월요일,,0507-1342-8586,https://www.artsy.net/partner/realation-space,47.2,양호
백암아트홀,공연장,공연시설,서울 강남구 테헤란로113길 7 백암아트센터,강남구,삼성1동,11230580,37.5103944,127.066052,유료,,홈페이지 참조,,02-559-1333,http://www.baekamhall.com/,130.8,양호
세계골프역사박물관,박물관/기념관,전시시설,서울특별시 강남구 테헤란로 528,강남구,삼성1동,11230580,37.5080952698916,127.062000046367,유료,,"토요일, 일요일, 공휴일 ",,02-2192-3005,https://blog.naver.com/golfhistory,71.5,양호
슈페리어갤러리,미술관/갤러리,전시시설,서울특별시 강남구 테헤란로 528 슈페리어타워 지하1층,강남구,삼성1동,11230580,37.5080952698916,127.062000046367,유료,,"토요일, 일요일, 공휴일 ",,02-2192-3366,https://www.instagram.com/superior_gallery,71.5,양호
언커먼 갤러리,미술관/갤러리,전시시설,"서울 강남구 봉은사로 516 B1층 (삼성동, 미켈란147)",강남구,삼성1동,11230580,37.5132365165484,127.055995805325,무료,,"매주 일,월요일, 공휴일",,070-8808-3500,https://www.instagram.com/uncommon.gallery/,77.6,양호
코엑스 별마당 도서관,도서관,도서관,서울특별시 강남구 영동대로 513,강남구,삼성1동,11230580,37.5118239121138,127.059159043842,무료,,없음,,02-6002-3031,https://starfield.co.kr/coexmall/starfieldLibrary/library.do,173.3,양호
코엑스 오디토리움,공연장,공연시설,서울특별시 강남구 영동대로 513 3F,강남구,삼성1동,11230580,37.511895260092864,127.05936167577896,유료,,홈페이지 참조,,02-6000-0114,https://business.coex.co.kr/meeting-room/auditorium/,196.3,양호
코엑스전시장,미술관/갤러리,전시시설,서울특별시 강남구 영동대로 513,강남구,삼성1동,11230580,37.5118239121138,127.059159043842,유료,10:00 ~ 17:00,연중무휴,,02-6000-0114,http://www.coex.co.kr,173.3,양호
국가무형유산전수교육관,기타,기타문화,서울특별시 강남구 봉은사로 406,강남구,삼성2동,11230590,37.5100930706802,127.044624837573,무료,,매주 월요일,,02-566-6300,https://www.kh.or.kr/cms/content/view/421,59.5,양호
민속극장풍류,공연장,공연시설,서울 강남구 봉은사로 406 서울국가무형문화재전수교육관,강남구,삼성2동,11230590,37.50991,127.044364,유료,3월 ~ 10월 : 10 ~ 18시11월 ~  2월 : 10 ~ 17시,홈페이지 참조,,02-3011-2178,https://www.instagram.com/chfpungryu/,43.5,양호
서울특별시교육청 강남도서관,도서관,도서관,서울 강남구 선릉로116길 45,강남구,삼성2동,11230590,37.5137356,127.0469916,유료,,"매월 첫째? 셋째 수요일 , 법정공휴일(일요일을 제외한 관공서 공휴일)",,02-3448-4741~5,http://gnlib.sen.go.kr/,34.9,양호
선릉아트홀,공연장,공연시설,서울 강남구 테헤란로 337 화남빌딩 B1,강남구,삼성2동,11230590,37.5047949131565,127.048457476412,무료,,공휴일,,02-553-0067,http://k-arthall.com/sa/bbs/page.php?hid=introduce,58.9,양호
선정릉,박물관/기념관,전시시설,서울 강남구 선릉로100길 1 선릉정릉,강남구,삼성2동,11230590,37.5073677154051,127.047165945717,유료,,월요일,,02-568-1291,https://royal.khs.go.kr/ROYAL/main/index.do,30.6,양호
강남구립못골도서관,도서관,도서관,서울특별시 강남구 자곡로 116,강남구,세곡동,11230760,37.47153792025,127.096582363421,무료,,매주 화요일 및 일요일 제외한 법정공휴일,,02-459-5522,https://library.gangnam.go.kr/mglib/index.do,51.5,양호
강남구립못골한옥어린이도서관,도서관,도서관,서울특별시 강남구 자곡로7길 3,강남구,세곡동,11230760,37.4733061524019,127.099727862691,무료,,매주 월요일 및 일요일을 제외한 법정공휴일,,02-2226-5930,https://library.gangnam.go.kr/hchildlib/index.do,37.1,양호
세곡도서관,도서관,도서관,서울특별시 강남구 밤고개로 286,강남구,세곡동,11230760,37.4690492648152,127.106912529003,무료,,"매주 월요일, 일요일을 제외한 법정공휴일",,02-445-0297,https://library.gangnam.go.kr/sklib/index.do,253.7,주의
탄허기념불교박물관,박물관/기념관,전시시설,서울특별시 강남구 밤고개로14길 13-51 탄허기념불교박물관,강남구,세곡동,11230760,37.4789886079745,127.10281217163,무료,,"매주 월요일 정기 휴관, 신정연휴, 설날연휴, 근로자의 날, 추석연휴",,02-445-8481,http://www.tanheo.org/,136.1,양호
강남스포츠문화센터,기타,기타문화,서울특별시 강남구 밤고개로1길 52,강남구,수서동,11230750,37.48915345909661,127.10522596740412,무료,,법정공휴일,,02-2176-0801~3,https://www.gncity.or.kr/gncity/main/contents.do?menuNo=200138,18.2,양호
거암아트홀,공연장,공연시설,서울특별시 강남구 강남대로 652 SINSA SQUARE 4층 거암아트홀,강남구,신사동,11230510,37.5195101291255,127.019106035326,유료,,홈페이지 참조,,02-541-7977,https://www.geoam.co.kr/,55.7,양호
광림아트센터 BBCH홀,공연장,공연시설,서울특별시 강남구 논현로163길 33,강남구,신사동,11230510,37.5238953464591,127.025579752364,유료,,매주일요일,,02-2056-5787,http://www.klarts.kr/,62.1,양호
광림아트센터 장천홀,공연장,공연시설,서울특별시 강남구 압구정로22길 21,강남구,신사동,11230510,37.5242621122375,127.026542808066,유료,,일요일 (공연일정에 따라 휴관일은 변경될 수 있음),,02-2056-5787,http://www.klarts.kr/,19.1,양호
국제아트홀,공연장,공연시설,서울특별시 강남구 압구정로 162,강남구,신사동,11230510,37.5263096990298,127.027465990023,무료,,없음,,02-548-1004,https://www.kukjearthall.com/,34.9,양호
김영섭사진화랑,미술관/갤러리,전시시설,서울특별시 강남구 강남대로152길 13,강남구,신사동,11230510,37.517378842154,127.020501567636,유료,10:00~19:00,월요일,,02-733-6331,https://www.gallerykim.com/,51.7,양호
룩인사이드 갤러리,미술관/갤러리,전시시설,서울 강남구 도산대로17길 30-1 1층,강남구,신사동,11230510,37.5206693525947,127.024511695575,무료,,메주 화요일 및 국경일,,없음,https://www.look-in-side.com/,32.4,양호
마테리오갤러리,미술관/갤러리,전시시설,"서울시 강남구 강남대로 94길 27-15 (역삼동 635-6), 태리빌딩 8층",강남구,신사동,11230510,37.5430999,126.9585778,무료,,"일요일, 월요일 휴무",,02-566-5310,https://www.materiauxgallery.com/,7005.1,확인필요
올리비아 박갤러리,미술관/갤러리,전시시설,서울특별시 강남구 논현로159길 23-2,강남구,신사동,11230510,37.5226389455029,127.026187137485,무료,,"토,일요일, 공휴일",,02-517-3572,http://oliviaparkgallery.com,43.1,양호
갤러리 JJ,미술관/갤러리,전시시설,서울특별시 강남구 압구정로30길 63,강남구,압구정동,11230770,37.5232493093031,127.029158344853,무료,,"공휴일 및 일요일, 월요일",,02-322-3979,https://www.galleryjj.org,17.4,양호
갤러리 아르스 ,미술관/갤러리,전시시설,서울특별시 강남구 도산대로35길 24-1,강남구,압구정동,11230770,37.5223815311342,127.030670353749,무료,,정보없음,,0507-1429-9782,없음,30.8,양호
도산안창호 기념관,박물관/기념관,전시시설,서울 강남구 도산대로 45길 20 도산안창호기념관,강남구,압구정동,11230770,37.5239978,127.0356302,무료,"평일 10:00~16:00, 토요일 공휴일 10:00?14:00","설?추석연휴, 신정",,02-541-1800,http://www.ahnchangho.or.kr/,37.4,양호
세실아트홀,공연장,공연시설,서울  강남구 신사동 616-7,강남구,압구정동,11230770,37.5281527704,127.0318444257,유료,,홈페이지 참조,,"02-543-6752, 02-3446-1665",http://www.cecil.co.kr,54.7,양호
셀린박 갤러리,미술관/갤러리,전시시설,서울특별시 강남구 압구정로32길 30,강남구,압구정동,11230770,37.5257900767039,127.029756991789,유료,,개별 확인,,070-5222-3778,https://www.instagram.com/celineparkgallery/,43.6,양호
아르떼케이(arte k),미술관/갤러리,전시시설,서울특별시 강남구 언주로172길 24,강남구,압구정동,11230770,37.5274024182689,127.03562200241,무료,,휴관일 없음,,02-6203-0101,https://www.arte-k.co.kr/,62.0,양호
아이러브아트센터,기타,기타문화,서울특별시 강남구 압구정로32길 30,강남구,압구정동,11230770,37.5257900767039,127.029756991789,유료,,홈페이지 참조,,07052223778,http://www.eyeloveartcenter.com,43.6,양호
윤당아트홀,공연장,공연시설,서울 강남구 언주로 844 B1 윤당아트홀,강남구,압구정동,11230770,37.5256551200052,127.033729778984,유료,,홈페이지 참조,,02-3446-9795,https://www.instagram.com/yoondang_arthall/,74.6,양호
카이스갤러리,미술관/갤러리,전시시설,서울특별시 강남구 언주로174길 13,강남구,압구정동,11230770,37.5284646981472,127.03502369684,유료,10:00 ~ 18:00,"일요일, 공휴일 (전시기간 무휴)",,0507-1402-0668,https://www.instagram.com/caisgallery/,89.3,양호
캔버스N 갤러리,미술관/갤러리,전시시설,서울특별시 강남구 언주로172길 25,강남구,압구정동,11230770,37.5275620390218,127.036040211271,무료,,매주 월요일,,02-511-6890,http://www.canvasn.net/,87.9,양호
코리아나 화장박물관,박물관/기념관,전시시설,강남구 언주로 827,강남구,압구정동,11230770,37.52450167801044,127.0326935857424,유료,,"일, 월요일, 1월 1일,설 및 추석연휴, 기타 기관장이 정하는 임시휴일",,02-547-9177,http://www.spacec.co.kr,32.0,양호
코리아나미술관,미술관/갤러리,전시시설,서울특별시 강남구 언주로 827,강남구,압구정동,11230770,37.5240691643,127.032811048,무료,,매주 일요일 및 명절연휴(설날/추석) 휴관,,02-547-9177,http://spacec.co.kr/,27.5,양호
호림박물관(신사분관),박물관/기념관,전시시설,서울특별시 강남구 도산대로 317,강남구,압구정동,11230770,37.522697614888,127.036344550051,유료,,"매주 일요일?월요일, 1월 1일, 설날연휴, 추석연휴",,02-541-3523~5,https://www.horimmuseum.org/ko/tour_guidance,78.8,양호
ADM 갤러리,미술관/갤러리,전시시설,서울특별시 강남구 역삼로14길 20,강남구,역삼1동,11230640,37.493208661734,127.035638210136,무료,,일요일,,02-554-0594,https://www.admgallery.co.kr/,29.1,양호
ADM 갤러리,미술관/갤러리,전시시설,서울특별시 강남구 역삼로14길 20,강남구,역삼1동,11230640,37.493208661734,127.035638210136,무료,,없음,,02-554-0594,https://www.admgallery.co.kr/,29.1,양호
GS아트센터,공연장,공연시설,서울특별시 강남구 논현로 508,강남구,역삼1동,11230640,37.5019949322814,127.037336400239,유료,,공연 일정별 상이,,02-2005-0101,https://www.gsartscenter.com,78.4,양호
강남구립역삼도서관,도서관,도서관,서울 강남구 역삼로7길 16 역삼1문화센터 5층,강남구,역삼1동,11230640,37.4953732068069,127.033283840382,무료,,매주 월요일 및 법정 공휴일,,02-508-1139,https://library.gangnam.go.kr/yslib/index.do,60.4,양호
강남구립역삼푸른솔도서관,도서관,도서관,서울특별시 강남구 테헤란로8길 36,강남구,역삼1동,11230640,37.496499181425,127.032028764698,무료,,매주 화요일 및 일요일을 제외한 법정공휴일,,02-2051-1178,https://library.gangnam.go.kr/ysplib/index.do,94.7,양호
강남시니어플라자,기타,기타문화,서울특별시 강남구 봉은사로 332,강남구,역삼1동,11230640,37.5097871620279,127.043218315638,무료,,평일 주중운영,,02-3467-9900,https://www.gangnam.go.kr/office/seniorplaza,104.6,양호
강남씨어터,공연장,공연시설,"서울특별시 강남구 역삼로7길 16, 3층",강남구,역삼1동,11230640,37.4953732068069,127.033283840382,유료,,"일요일, 법정공휴일",,02-2176-0724,http://www.gfac.kr,60.4,양호
갤러리K 역삼센터,미술관/갤러리,전시시설,서울특별시 강남구 논현로 413,강남구,역삼1동,11230640,37.4970121191651,127.03839465769,무료,,개별 확인,,1644-2208,https://www.artnomics.co.kr/bbs/board.php?bo_table=exhibition,88.7,양호
국립어린이청소년 도서관,도서관,도서관,서울 강남구 테헤란로7길 21 국립어린이청소년도서관,강남구,역삼1동,11230640,37.500936003783,127.029622838671,무료,아침9시~저녁6시  야간도서관 자료이용 : [월~금요일] 18:00~21:00,"매월 둘째?넷째 월요일, 공휴일",,02-3413-4800,http://www.nlcy.go.kr,42.6,양호
국립현대무용단 댄스하우스,공연장,공연시설,서울특별시 강남구 강남대로110길 83-10,강남구,역삼1동,11230640,37.5035937848027,127.031389528446,무료,,"매주 토요일, 일요일",,02-6203-3082,https://www.kncdc.kr/ko/guide/dancehouse,26.2,양호
라움아트센터,공연장,공연시설,서울특별시 강남구 언주로 564,강남구,역삼1동,11230640,37.5083912736997,127.039775356327,유료,,연중무휴,,02-6925-4794,http://www.theraum.co.kr,58.2,양호
역삼1동복합문화센터,기타,기타문화,서울특별시 강남구 역삼로7길 16,강남구,역삼1동,11230640,37.4953732068069,127.033283840382,유료,,"일요일, 법정공휴일, 근로자의날",,02-2176-0720,https://life.gangnam.go.kr/fmcs/118,60.4,양호
신한갤러리,미술관/갤러리,전시시설,서울특별시 강남구 역삼로 251,강남구,역삼2동,11230650,37.4986310664978,127.044022609937,무료,,"일, 월, 공휴일, 근로자의 날 ",,02-2151-7684,https://www.beautifulshinhan.co.kr/servShcaInqy3010.do?mappingId=%2FservShcaInqy3010.do&genActiontypeCd=2ACT1010&genDoctreattypeCd=&genMenuId=menu_serv_serv_lawt_3030,103.4,양호
예림당 아트홀,공연장,공연시설,서울 강남구 언주로 337 동영문화센터 2층 예림당아트홀,강남구,역삼2동,11230650,37.4979704306338,127.044311836778,무료,,매주 월요일,,02-6413-3689,http://www.amculture.co.kr/default/,56.2,양호
강남구립 개포하늘꿈도서관,도서관,도서관,서울특별시 강남구 개포로110길 54,강남구,일원1동,11230730,37.4906692944468,127.080356908422,무료,,"매주 화요일, 법정공휴일",,02-451-1511,https://library.gangnam.go.kr/hnkklib,80.3,양호
강남구립열린도서관,도서관,도서관,서울 강남구 일원로 115 삼성생명빌딩 B동 203호,강남구,일원본동,11230720,37.4840224010593,127.084459720088,무료,,"매주 월요일, 일요일을 제외한 법정공휴일",,02-3412-3970,https://library.gangnam.go.kr/yllib,64.3,양호
세라믹팔레스홀,공연장,공연시설,서울 강남구 일원로 90 밀알아트센터 지하2층 세라믹팔레스홀,강남구,일원본동,11230720,37.4858171,127.0824692,유료,,"일요일, 공휴일",,02-3411-4668,http://www.cphall.org/,66.8,양호
K현대미술관,미술관/갤러리,전시시설,서울특별시 강남구 선릉로 807,강남구,청담동,11230780,37.5243794232829,127.039171716001,유료,,월요일 휴관 (이외의 휴관은 일정에 따라 홈페이지에 사전공지),,02-2138-0952,http://www.kmcaseoul.org,68.6,양호
VIVIAN CHOI GALLERY,미술관/갤러리,전시시설,서울 강남구 도산대로85길 30 2층 209,강남구,청담동,11230780,37.526439666489,127.049680036198,무료,,"일요일, 월요일",,050255525818,https://vivianchoi.imweb.me,35.1,양호
강남구립정다운도서관,도서관,도서관,서울특별시 강남구 학동로67길 11,강남구,청담동,11230780,37.5190987146919,127.046440886765,무료,,"화요일, 법정공휴일",,02-512-9326,https://jdwlib.gangnam.go.kr/jdwlib/index.do,17.7,양호
강남구립청담도서관,도서관,도서관,서울 강남구 압구정로79길 26 청담동주민센터,강남구,청담동,11230780,37.5250921105077,127.04929111534,무료,,"매월 월요일, 일요일을 제외한 법정공휴일",,02-540-7042,https://library.gangnam.go.kr/cdlib/index.do,43.4,양호
갤러리 508,미술관/갤러리,전시시설,서울특별시 강남구 도산대로67길 14,강남구,청담동,11230780,37.5249920319161,127.044705546448,무료,,"일요일, 월요일",,02-6448-5087,https://www.gallery-508.com/,35.4,양호
갤러리 가이아,미술관/갤러리,전시시설,서울특별시 강남구 선릉로162길 43,강남구,청담동,11230780,37.5263596212575,127.044097726418,무료,10:00~19:00,연중무휴,,02-733-3373,http://www.galerie-gaia.net/,36.5,양호
갤러리 그라프,미술관/갤러리,전시시설,서울특별시 강남구 삼성로149길 10,강남구,청담동,11230780,37.5234788204389,127.046743383017,무료,,"매주 일요일, 월요일, 공휴일",,02-566-0308,https://ggrappe.com/,86.6,양호
갤러리 플래닛,미술관/갤러리,전시시설,서울특별시 강남구 압구정로71길 14,강남구,청담동,11230780,37.5275164514377,127.045900812708,무료,,"일, 월요일, 공휴일(전시가 없을 시 토, 일 휴무) ",,02-540-4853,http://galleryplanet.co.kr/ ,32.8,양호
갤러리원,미술관/갤러리,전시시설,서울특별시 강남구 압구정로71길 14,강남구,청담동,11230780,37.5275164514377,127.045900812708,무료,월~금 10:00~18:00토요일 10:00~17:30,주말 및 공휴일(전시중 무휴),,02-514-3439,http://www.gallerywon.co.kr/,32.8,양호
보자르갤러리,미술관/갤러리,전시시설,서울 강남구 도산대로99길 50-2 (청담동) 1층,강남구,청담동,11230780,37.5270629329359,127.049361647914,무료,,"일요일, 월요일",,02-543-5662,https://www.beauxarts22.com/,21.6,양호
시그니처 키친 스위트 청담,미술관/갤러리,전시시설,서울특별시 강남구 압구정로60길 13,강남구,청담동,11230780,37.5263382656115,127.042128357934,무료,,"일요일, 법정 공휴일, 설/추석 연휴 휴관",,02-3777-6700,https://www.lge.co.kr/kr/business/signaturekitchen/exhibit-list.do,114.5,양호
아트301,미술관/갤러리,전시시설,서울 강남구 압구정로 443 6층,강남구,청담동,11230780,37.5267298610407,127.045941283788,무료,,매주 일요일,,02-3446-5891,https://www.art301.com/ ,68.7,양호
장디자인아트,미술관/갤러리,전시시설,서울 강남구 도산대로67길 27 1-2F,강남구,청담동,11230780,37.5258729308666,127.044255933185,무료,,"매주 일요일, 월요일 (동절기 휴관)",,02-514-0555,https://www.jeandesignart.com/,25.7,양호
청화랑,미술관/갤러리,전시시설,서울특별시 강남구 삼성로147길 4,강남구,청담동,11230780,37.5227377435925,127.0476509664,무료,,"공휴일, 일요일 월요일",,02-543-1663,https://www.chungartgallery.com/,17.1,양호
피규어뮤지엄더블유,박물관/기념관,전시시설,서울특별시 강남구 선릉로158길 3,강남구,청담동,11230780,37.5257998045331,127.040386554258,유료,,"매주 월요일, 1월 1일, 설날?추석연휴 1?2째날",,02-512-8865,http://www.figuremuseumw.co.kr/,31.8,양호
한솥아트스페이스,미술관/갤러리,전시시설,서울 강남구 압구정로 459 B1층,강남구,청담동,11230780,37.5254941585008,127.047030515103,무료,,매주 일요일,,02-2033-9642,https://blog.naver.com/hansot_artspace,100.8,양호
온조대왕문화체육관,기타,기타문화,서울특별시 강동구 고덕로 285,강동구,고덕제2동,11250560,37.5567272009253,127.157453945306,무료,,"매주 일요일, 법정공휴일, 신정, 설연휴, 추석연휴",,02-2045-7800,https://www.igangdong.or.kr/page/ch/ch_0101.asp,119.1,양호
서울특별시교육청 강동도서관,도서관,도서관,서울특별시 강동구 양재대로116길 57,강동구,길동,11250740,37.538082969509,127.143500933257,유료,,"매월 첫째, 셋째 목요일, 법정공휴일",,02-2225-9800,http://gdlib.sen.go.kr/,92.3,양호
강동아트센터,문화예술회관,공연시설,서울 강동구 동남로 870 강동아트센터,강동구,상일제1동,11250760,37.5512204558342,127.157342546961,무료,,"매주 일, 월요일",,02-440-0500,https://www.gdfac.or.kr/,104.7,양호
서울특별시교육청 고덕평생학습관,도서관,도서관,서울특별시 강동구 고덕로 295,강동구,상일제1동,11250760,37.5561204084687,127.158039363963,무료,,"매월 둘째주, 넷째주 월요일 / 일요일을 제외한 법정공휴일, 평생학습관 사정으로 인한 임시휴관일",,02-6902-2600,http://gdllc.sen.go.kr/,114.7,양호
강동어린이회관아이누리홀,공연장,공연시설,서울특별시 강동구 성내로6길 16 (성내동),강동구,성내제1동,11250650,37.529163,127.122469,유료,,"매주 월요일, 일요일, 법정공휴일",,02-486-3516~8,https://www.gdkids.or.kr:8443/front/user/main.do,98.9,양호
